368 851
0 1 97.90800000000002
0 191 56.548
0 48 103.465
1 0 97.90799999999999
2 3 688.6229999999998
2 43 511.236
2 42 91.782
3 2 688.6230000000002
4 5 30.173000000000002
4 8 80.21399999999998
4 8 80.21399999999998
4 140 78.482
5 6 104.222
5 4 30.173
5 9 47.754000000000005
6 7 19.771
6 5 104.22200000000001
6 9 132.94599999999997
7 6 19.771
8 9 25.061
8 4 80.214
8 4 80.214
8 96 80.024
9 6 132.94599999999997
9 8 25.061
9 5 47.754
10 11 169.175
10 212 248.87599999999998
10 65 290.97200000000004
11 12 159.991
11 10 169.17499999999998
11 44 311.773
12 11 159.99099999999996
13 264 779.508
14 254 1058.8829999999998
14 53 785.4820000000001
15 300 153.942
16 17 145.275
17 74 12.103
17 16 145.275
17 299 459.531
18 144 46.986999999999995
19 208 4.345
20 94 102.48400000000001
21 22 30.461
21 128 113.54599999999998
21 298 59.99000000000001
22 21 30.461
22 154 298.888
23 77 18.36
23 76 20.758
23 24 20.378
24 228 45.722
24 228 45.722
24 23 20.378
24 229 23.237000000000002
25 258 36.589
25 94 97.156
25 93 136.69000000000003
26 90 336.8329999999999
26 26 79.113
26 26 79.113
27 324 757.9110000000002
27 326 238.36900000000003
28 29 20.519
28 220 79.06700000000001
29 124 259.317
30 31 25.951
30 167 64.191
31 30 25.951
31 126 396.36599999999993
32 33 112.496
32 165 237.546
32 164 112.18
33 32 112.49600000000001
34 35 826.5079999999999
34 178 1400.9219999999998
34 209 251.35899999999998
34 208 476.58
35 36 154.201
35 104 208.163
35 34 826.5079999999998
36 104 70.898
36 35 154.201
36 335 900.4740000000003
37 48 10.927
37 190 101.66
37 335 110.03999999999999
38 38 196.646
38 38 196.646
38 39 274.52900000000005
39 38 274.529
39 207 213.94000000000003
39 88 99.506
39 87 68.04599999999999
40 41 193.83999999999997
40 230 353.44800000000004
40 89 79.13499999999999
40 88 119.658
41 40 193.83999999999997
41 90 80.74600000000001
41 89 64.723
42 2 91.782
42 64 539.045
43 44 756.7759999999998
43 2 511.23600000000005
43 159 126.14
44 45 156.464
44 43 756.7760000000001
44 11 311.773
45 46 393.4319999999999
45 44 156.464
45 138 325.374
46 45 393.432
46 198 416.577
46 69 688.258
47 234 1242.516
48 37 10.927
48 49 327.91400000000004
48 0 103.465
49 48 327.91400000000004
50 51 147.436
51 52 69.65899999999999
51 50 147.436
51 55 200.77
52 51 69.65899999999999
53 54 157.178
53 79 211.776
53 14 785.482
53 106 533.3489999999999
54 55 783.178
54 53 157.178
54 111 219.046
55 56 666.855
55 54 783.1780000000001
55 51 200.76999999999998
56 299 606.047
56 233 432.84100000000007
56 300 751.601
56 55 666.8549999999999
57 334 35.598
57 337 150.89100000000002
57 339 300.173
58 59 290.553
58 99 802.9470000000001
58 113 302.273
59 58 290.553
60 61 276.3399999999999
61 60 276.34
61 78 184.53500000000003
61 79 904.8039999999999
62 63 865.9999999999998
63 62 866.0
63 165 296.30500000000006
63 114 348.01900000000006
63 240 177.559
64 65 201.32200000000003
64 42 539.045
64 101 604.2650000000002
65 66 425.28000000000003
65 64 201.32199999999997
65 10 290.97200000000004
66 67 368.97999999999996
66 65 425.28000000000003
66 68 1053.2099999999998
67 68 100.395
67 66 368.97999999999996
67 213 215.278
68 67 100.395
68 69 207.119
68 66 1053.2100000000003
69 68 207.119
69 106 510.10000000000014
69 46 688.258
69 197 438.29200000000003
70 71 414.384
70 72 251.96699999999998
70 328 95.10199999999998
71 70 414.384
71 214 47.08
71 213 173.506
72 73 80.16600000000001
72 70 251.967
72 213 277.492
73 72 80.166
74 223 92.76
74 17 12.103
74 75 579.028
75 223 58.801
75 74 579.0280000000001
75 192 323.496
76 23 20.758
77 23 18.36
78 61 184.53500000000003
79 61 904.8039999999999
79 239 197.576
79 53 211.776
79 242 444.31
80 81 342.887
80 226 268.778
80 83 30.025
81 80 342.887
81 216 129.03900000000002
81 83 551.5099999999999
82 83 296.743
82 248 12.051
82 206 225.94699999999997
83 82 296.743
83 81 551.5100000000001
83 80 30.025
84 288 33.296
84 120 185.661
84 85 507.46099999999996
85 170 114.423
85 86 149.057
85 84 507.461
86 141 281.5539999999999
86 210 65.262
86 87 73.416
86 85 149.057
87 141 259.99100000000004
87 39 68.04599999999999
87 86 73.41600000000001
88 146 179.06900000000002
88 207 289.95099999999996
88 40 119.658
88 39 99.506
89 230 289.23199999999997
89 41 64.723
89 40 79.135
90 91 7.705
90 26 336.833
90 41 80.746
91 90 7.705
91 252 77.56799999999998
91 92 237.29
92 247 159.594
92 93 156.667
92 91 237.29000000000002
93 174 129.522
93 104 68.922
93 25 136.69
93 92 156.667
94 20 102.48400000000001
94 25 97.156
94 175 285.43100000000004
95 193 173.582
96 97 18.999
96 227 54.567
96 8 80.024
96 179 153.098
97 96 18.999
97 98 87.875
97 177 63.506
98 97 87.875
99 100 271.58000000000004
99 114 877.9879999999997
99 58 802.947
100 99 271.58
101 64 604.2649999999998
102 180 14.319
102 103 68.783
102 227 30.976
103 102 68.783
104 36 70.898
104 35 208.16299999999998
104 93 68.922
105 105 158.78
105 105 158.78
105 146 156.94099999999995
106 277 224.351
106 69 510.1
106 53 533.349
107 187 353.822
107 108 544.572
108 157 226.77000000000004
108 309 235.30100000000002
108 107 544.5719999999999
109 268 78.279
109 268 78.279
109 110 56.641
109 176 77.349
110 109 56.641
111 54 219.046
112 113 27.807
112 115 15.794
113 115 29.939
113 58 302.27299999999997
114 206 161.93500000000003
114 63 348.019
114 99 877.9880000000004
115 323 30.973
116 307 23.901
116 117 308.431
117 292 25.476
117 290 382.604
118 287 28.729
118 293 487.288
118 209 1483.943
119 84 52.308
119 288 61.477000000000004
120 308 97.68100000000001
120 121 299.533
121 134 28.906
121 122 228.79399999999998
122 295 29.061
122 303 488.12600000000003
123 311 41.696
123 28 121.70400000000001
124 322 24.969
124 125 220.138
125 321 24.829
125 157 83.39500000000001
125 31 248.69799999999995
126 265 30.148
126 315 17.797
127 298 88.378
127 297 28.684
128 129 253.61800000000002
129 304 29.907
129 296 249.85699999999997
129 361 66.61500000000001
130 150 205.52499999999998
130 131 199.546
131 132 119.067
131 149 205.634
132 133 36.907
132 168 136.15699999999998
133 168 103.31
133 295 17.56
134 121 28.906
134 135 11.952000000000002
135 147 211.065
135 308 210.166
136 224 500.67600000000004
136 291 270.148
137 155 146.172
138 45 325.37399999999997
139 176 6.787
139 140 76.341
139 140 76.341
140 139 76.341
140 139 76.341
140 176 105.00399999999999
140 4 78.482
141 87 259.991
141 86 281.5539999999999
141 142 43.311
142 141 43.311
142 142 59.78300000000001
142 142 59.78300000000001
143 27 48.793000000000006
145 145 74.602
145 145 74.602
145 146 160.512
146 145 160.51199999999997
146 105 156.94100000000003
146 88 179.06899999999996
147 148 274.75699999999995
147 135 211.065
147 172 296.48900000000003
148 168 101.697
148 149 156.77100000000002
148 147 274.75699999999995
149 150 198.671
149 148 156.77100000000002
149 131 205.634
150 151 215.00600000000003
150 149 198.671
150 130 205.52499999999998
151 150 215.006
151 184 947.418
151 359 140.421
152 153 1254.435
152 183 1879.632
152 234 522.225
153 246 232.822
153 154 501.46099999999996
153 152 1254.4350000000002
154 22 298.88800000000003
154 158 545.0
154 153 501.46100000000007
155 323 15.633000000000001
156 311 252.70499999999998
156 123 225.867
157 125 83.39500000000001
157 158 611.461
157 108 226.77
158 265 133.303
158 154 545.0
158 157 611.461
159 43 126.14
160 202 224.24999999999997
161 334 20.39
161 162 464.6940000000001
161 188 68.82300000000001
162 161 464.694
162 305 163.576
163 164 75.767
164 32 112.17999999999998
164 163 75.767
164 182 361.21600000000007
165 32 237.546
165 63 296.30500000000006
165 250 351.8020000000001
166 167 394.996
167 166 394.996
167 321 179.517
168 169 27.405
168 133 103.31
168 148 101.697
168 132 136.157
169 168 27.405
170 85 114.42299999999999
171 172 81.08200000000001
172 147 296.48900000000003
172 171 81.08200000000001
172 358 131.458
173 173 957.9159999999999
173 173 957.9159999999999
173 196 358.802
174 175 246.16600000000005
174 93 129.522
174 249 79.00500000000001
175 94 285.43100000000004
175 174 246.16600000000005
175 255 76.268
176 139 6.787
176 140 105.004
176 109 77.349
177 228 44.186
177 227 24.211
177 97 63.506
178 34 1400.9219999999998
178 272 271.004
179 185 32.65
179 180 48.986000000000004
179 96 153.098
180 102 14.319
180 179 48.986
180 185 52.245000000000005
181 182 153.346
182 164 361.21600000000007
182 181 153.346
182 206 802.6889999999999
183 152 1879.6320000000003
183 325 348.837
184 151 947.4180000000001
184 327 353.694
185 179 32.65
185 186 50.995999999999995
185 269 79.217
185 180 52.245000000000005
186 185 50.996
187 238 316.439
187 107 353.822
188 189 53.598
188 161 68.82300000000001
188 334 67.656
189 266 112.57
189 188 53.598
189 190 158.644
189 365 160.51
190 37 101.66
190 360 194.205
190 189 158.644
191 280 193.64
191 192 154.221
