num_nodes,probability_of_edge,seed,k,el,visibility_func,heuristic_func,order_of_j,complete_search,upperbound_pruning,num_evaluated_partitions,num_valid_partitions,num_skipped_partitions,num_expanded_nodes,num_anonymized_paths,num_evaluated_partitions_till_first,num_expanded_nodes_till_first,avg_cost_anonymized_paths
11,0.2,1,2,0,identity,blind,random,1,0,1218,30,0,57776,8,5,233,5.5
11,0.2,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
11,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
11,0.2,4,2,0,identity,blind,random,1,0,1543,50,0,83549,8,5,243,4
11,0.2,5,2,0,identity,blind,random,1,0,2,1,0,25,2,2,25,5
11,0.3,1,2,0,identity,blind,random,1,0,5993,159,0,379769,9,6,351,5.33333
11,0.3,2,2,0,identity,blind,random,1,0,8059,237,0,529546,9,6,325,5.77778
11,0.3,3,2,0,identity,blind,random,1,0,1985,91,0,116118,8,5,241,4.5
11,0.3,4,2,0,identity,blind,random,1,0,6518,156,0,440223,9,6,363,4.66667
11,0.3,5,2,0,identity,blind,random,1,0,3656,99,0,168167,9,6,291,5.55556
11,0.4,1,2,0,identity,blind,random,1,0,4499,139,0,280434,9,6,345,3.77778
11,0.4,2,2,0,identity,blind,random,1,0,8142,359,0,453949,9,6,317,4.88889
11,0.4,3,2,0,identity,blind,random,1,0,3026,51,0,176333,9,6,307,3.33333
11,0.4,4,2,0,identity,blind,random,1,0,4107,120,0,234113,9,6,328,3.77778
11,0.4,5,2,0,identity,blind,random,1,0,10976,667,0,786616,9,6,342,4.88889
12,0.2,1,2,0,identity,blind,random,1,0,7446,206,0,439600,9,6,306,5.44444
12,0.2,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.2,4,2,0,identity,blind,random,1,0,2096,51,0,118359,8,5,247,4.75
12,0.2,5,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.3,1,2,0,identity,blind,random,1,0,9593,273,0,635430,10,6,331,4
12,0.3,2,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
12,0.3,3,2,0,identity,blind,random,1,0,15680,137,0,1001620,10,6,343,4.8
12,0.3,4,2,0,identity,blind,random,1,0,21681,240,0,1572006,10,6,371,4.6
12,0.3,5,2,0,identity,blind,random,1,0,5313,127,0,312787,10,6,368,4.2
12,0.4,1,2,0,identity,blind,random,1,0,10936,56,0,747349,10,6,413,4
12,0.4,2,2,0,identity,blind,random,1,0,25083,414,0,1562470,10,6,291,3.8
12,0.4,3,2,0,identity,blind,random,1,0,5945,42,0,353851,10,6,337,3.4
12,0.4,4,2,0,identity,blind,random,1,0,17454,139,0,1248861,10,6,403,4
12,0.4,5,2,0,identity,blind,random,1,0,5675,86,0,320826,10,6,330,3.6
13,0.2,1,2,0,identity,blind,random,1,0,22666,224,0,1490583,10,6,324,5
13,0.2,2,2,0,identity,blind,random,1,0,613,37,0,28532,8,5,243,4.125
13,0.2,3,2,0,identity,blind,random,1,0,1,1,0,0,0,1,0,-nan
