path,graph_type,num_nodes,probability_of_edge,seed,k,el,visibility_func,heuristic_func,order_of_j,complete_search,upperbound_pruning,partition_type,radius,num_evaluated_partitions,num_valid_partitions,num_skipped_partitions,num_expanded_nodes,num_anonymized_paths,num_evaluated_partitions_till_first,num_expanded_nodes_till_first,avg_cost_anonymized_paths,total_time,lowebound_cost,num_duplicated_partitions
output/tunnel-randomt=grid_n=4_e=0.3_s=1_k2l2merge.out,grid,4,0.3,1,2,2,identity,tunnel,random,1,1,merge,1,7914,52,11435,186456,10,6,125,8.6,528,6.6,13545
output/blind-randomt=internet_n=13_e=1.0_s=4_k2l3merge.out,internet,13,1.0,4,2,3,identity,blind,random,1,1,merge,1,389,0,9219,30494,8,0,0,8,63,5.09091,910
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,internet,13,1.0,1,3,1,identity,tunnel,random,1,1,greedy,1,678570,11353,0,32382403,11,1,14291,7.27273,103915,4.09091,0
output/blind-t=gnp_n=13_e=0.3_s=2_k3l1greedy.out,gnp,13,0.3,2,3,1,identity,blind,random,1,1,greedy,1,678570,11353,0,66682580,11,1,10233,7.63636,129462,4.81818,0
output/tunnel-t=gnp_n=13_e=0.3_s=5_k2l1greedy.out,gnp,13,0.3,5,2,1,identity,tunnel,random,1,1,greedy,1,678570,98253,0,19984659,11,1,7510,4.90909,67672,4.27273,0
output/blind-nearestt=internet_n=13_e=1.0_s=5_k2l3merge.out,internet,13,1.0,5,2,3,identity,blind,nearest,1,1,merge,1,1013,0,19627,57436,10,0,0,7.4,146,4.54545,2705
output/blind-t=internet_n=13_e=1.0_s=5_k2l1greedy.out,internet,13,1.0,5,2,1,identity,blind,random,1,1,greedy,1,678570,98253,0,65318992,11,1,9076,6,129198,4.54545,0
output/blind-nearestt=gnp_n=13_e=0.3_s=5_k2l1merge.out,gnp,13,0.3,5,2,1,identity,blind,nearest,1,1,merge,1,45435,129,0,3452739,11,7,496,4.90909,7442,4.27273,39611
output/tunnel-randomt=internet_n=13_e=1.0_s=3_k3l1merge.out,internet,13,1.0,3,3,1,identity,tunnel,random,1,1,merge,1,664746,7660,86,36365593,11,9,259,7.27273,123324,4.09091,5164983
output/tunnel-nearestt=internet_n=13_e=1.0_s=1_k3l2merge.out,internet,13,1.0,1,3,2,identity,tunnel,nearest,1,1,merge,1,132098,309,789199,5744826,11,9,303,8.36364,19822,4.09091,906255
output/tunnel-randomt=grid_n=4_e=0.3_s=4_k3l3merge.out,grid,4,0.3,4,3,3,identity,tunnel,random,1,1,merge,1,409,0,5096,5661,6,0,0,10,22,4.22222,898
output/tunnel-randomt=gnp_n=13_e=0.3_s=4_k2l2merge.out,gnp,13,0.3,4,2,2,identity,tunnel,random,1,1,merge,1,21795,444,73990,481658,11,7,139,5.27273,1795,4,55315
output/blind-nearestt=gnp_n=13_e=0.3_s=2_k3l3merge.out,gnp,13,0.3,2,3,3,identity,blind,nearest,1,1,merge,1,1483,0,31615,75742,7,0,0,12.2857,328,4.81818,4393
output/tunnel-randomt=internet_n=13_e=1.0_s=3_k2l2merge.out,internet,13,1.0,3,2,2,identity,tunnel,random,1,1,merge,1,41485,1131,101335,1264559,11,7,118,5.90909,4522,4.09091,114582
output/tunnel-nearestt=internet_n=13_e=1.0_s=5_k3l2merge.out,internet,13,1.0,5,3,2,identity,tunnel,nearest,1,1,merge,1,61186,0,552494,1884390,10,0,0,8.5,6462,4.54545,356321
output/blind-nearestt=internet_n=13_e=1.0_s=4_k2l3merge.out,internet,13,1.0,4,2,3,identity,blind,nearest,1,1,merge,1,389,0,9219,30384,8,0,0,8,64,5.09091,910
output/blind-nearestt=grid_n=4_e=0.3_s=3_k2l2merge.out,grid,4,0.3,3,2,2,identity,blind,nearest,1,1,merge,1,4640,20,3820,276799,10,6,349,5.4,589,4.4,3872
output/blind-t=grid_n=4_e=0.3_s=4_k3l3greedy.out,grid,4,0.3,4,3,3,identity,blind,random,1,1,greedy,1,21147,0,0,217676,6,0,0,10,493,4.22222,0
output/blind-randomt=internet_n=13_e=1.0_s=2_k3l2merge.out,internet,13,1.0,2,3,2,identity,blind,random,1,1,merge,1,14657,0,203419,1118006,9,0,0,7.33333,3151,4.09091,66160
output/tunnel-randomt=gnp_n=13_e=0.3_s=2_k3l1merge.out,gnp,13,0.3,2,3,1,identity,tunnel,random,1,1,merge,1,643146,3588,985,24265822,11,9,232,7.63636,78933,4.81818,4200604
output/tunnel-t=internet_n=13_e=1.0_s=4_k2l3greedy.out,internet,13,1.0,4,2,3,identity,tunnel,random,1,1,greedy,1,678570,0,0,3874326,8,0,0,8,13463,5.09091,0
output/blind-nearestt=gnp_n=13_e=0.3_s=2_k2l2merge.out,gnp,13,0.3,2,2,2,identity,blind,nearest,1,1,merge,1,47468,1384,98814,3734477,11,8,618,6.72727,7660,4.81818,121916
output/blind-t=gnp_n=13_e=0.3_s=3_k3l3greedy.out,gnp,13,0.3,3,3,3,identity,blind,random,1,1,greedy,1,678570,0,0,1522604,0,0,0,-nan,6327,5.18182,0
output/blind-randomt=gnp_n=13_e=0.3_s=2_k2l3merge.out,gnp,13,0.3,2,2,3,identity,blind,random,1,1,merge,1,1483,0,27089,96851,10,0,0,7.2,203,4.81818,4285
output/blind-t=internet_n=13_e=1.0_s=2_k2l3greedy.out,internet,13,1.0,2,2,3,identity,blind,random,1,1,greedy,1,678570,0,0,5831803,6,0,0,7.33333,16288,4.09091,0
output/blind-nearestt=grid_n=4_e=0.3_s=3_k3l1merge.out,grid,4,0.3,3,3,1,identity,blind,nearest,1,1,merge,1,55034,117,0,5460662,10,8,547,5.6,10988,4.4,88512
