path,time,NumberOfAnonymizedPaths,AverageCost,NumberOfPartitions,NumberOfValidPartitions,NumberofSkipped,NumberOfDuplicated,NumberOfNodes
output/tunnel211.0den201d.map_4merge.out,100.0,8.0,0.058671,78.0,1.0,57.0,10.0,18446.0
output/tunnel211.0den201d.map_4merge.out,200.0,8.0,0.058671,153.0,1.0,164.0,28.0,34615.0
output/tunnel211.0den101d.map_1merge.out,100.0,8.0,0.355922,8.0,2.0,0.0,0.0,14791.0
output/tunnel211.0den101d.map_1merge.out,200.0,8.0,0.355922,14.0,4.0,3.0,2.0,22922.0
output/tunnel211.0den101d.map_1merge.out,300.0,8.0,0.355922,16.0,4.0,3.0,2.0,39030.0
output/tunnel211.0den101d.map_1merge.out,400.0,8.0,0.355922,17.0,4.0,3.0,2.0,48164.0
output/tunnel211.0den101d.map_1merge.out,500.0,8.0,0.355922,31.0,4.0,38.0,10.0,61231.0
output/tunnel211.0den101d.map_1merge.out,600.0,8.0,0.355922,42.0,5.0,61.0,28.0,83920.0
output/tunnel211.0den101d.map_1merge.out,700.0,8.0,0.355922,43.0,5.0,61.0,28.0,92286.0
output/tunnel211.0den101d.map_1merge.out,800.0,8.0,0.355922,44.0,5.0,61.0,28.0,101420.0
output/tunnel211.0den101d.map_1merge.out,900.0,8.0,0.216728,66.0,6.0,131.0,43.0,118870.0
output/tunnel211.0den101d.map_1merge.out,1000.0,8.0,0.216728,85.0,6.0,197.0,71.0,141020.0
output/tunnel211.0den101d.map_1merge.out,1100.0,8.0,0.216728,101.0,6.0,273.0,85.0,160432.0
output/tunnel211.0den101d.map_1merge.out,1200.0,8.0,0.216728,131.0,6.0,482.0,137.0,181238.0
output/tunnel211.0den101d.map_1merge.out,1300.0,8.0,0.216728,161.0,9.0,641.0,171.0,203306.0
output/tunnel211.0den101d.map_1merge.out,1400.0,8.0,0.216728,175.0,9.0,711.0,181.0,220930.0
output/tunnel211.0den101d.map_1merge.out,1500.0,8.0,0.216728,203.0,9.0,833.0,214.0,240144.0
output/tunnel211.0den101d.map_1merge.out,1600.0,8.0,0.216728,225.0,9.0,928.0,247.0,258751.0
output/tunnel211.0den101d.map_5merge.out,100.0,8.0,0.511493,7.0,1.0,0.0,0.0,13149.0
output/tunnel211.0den101d.map_5merge.out,200.0,8.0,0.510312,14.0,2.0,2.0,1.0,20693.0
output/tunnel211.0den101d.map_5merge.out,300.0,8.0,0.501658,26.0,4.0,15.0,7.0,38824.0
output/tunnel211.0den101d.map_5merge.out,400.0,8.0,0.501658,28.0,4.0,15.0,7.0,48140.0
output/tunnel211.0den101d.map_5merge.out,500.0,8.0,0.501658,29.0,4.0,15.0,7.0,52873.0
output/tunnel211.0den101d.map_5merge.out,600.0,8.0,0.496928,45.0,7.0,25.0,8.0,71055.0
output/tunnel211.0den101d.map_5merge.out,700.0,8.0,0.4714,50.0,11.0,25.0,8.0,85103.0
output/tunnel211.0den101d.map_5merge.out,800.0,8.0,0.4714,56.0,13.0,25.0,9.0,100168.0
output/tunnel211.0den101d.map_5merge.out,900.0,8.0,0.4714,62.0,15.0,26.0,13.0,115024.0
output/tunnel211.0den101d.map_5merge.out,1000.0,8.0,0.4714,67.0,17.0,26.0,14.0,130157.0
output/tunnel211.0den101d.map_5merge.out,1100.0,8.0,0.463013,73.0,19.0,27.0,17.0,141331.0
