path,time,NumberOfAnonymizedPaths,AverageCost,NumberOfPartitions,NumberOfValidPartitions,NumberofSkipped,NumberOfDuplicated,NumberOfNodes
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,1000.0,11.0,7.63636,905.0,57.0,0.0,0.0,234954.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,2000.0,11.0,7.63636,2746.0,171.0,0.0,0.0,498942.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,3000.0,11.0,7.63636,5297.0,301.0,0.0,0.0,769366.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,4000.0,11.0,7.63636,8359.0,473.0,0.0,0.0,1049646.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,5000.0,11.0,7.63636,12328.0,661.0,0.0,0.0,1338141.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,6000.0,11.0,7.63636,17110.0,871.0,0.0,0.0,1635619.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,7000.0,11.0,7.63636,21651.0,907.0,0.0,0.0,1917722.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,8000.0,11.0,7.27273,24564.0,1044.0,0.0,0.0,2203263.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,9000.0,11.0,7.27273,27923.0,1283.0,0.0,0.0,2498512.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,10000.0,11.0,7.27273,31982.0,1476.0,0.0,0.0,2794394.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,11000.0,11.0,7.27273,38174.0,1544.0,0.0,0.0,3093300.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,12000.0,11.0,7.27273,41634.0,1833.0,0.0,0.0,3390082.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,13000.0,11.0,7.27273,45283.0,2100.0,0.0,0.0,3681373.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,14000.0,11.0,7.27273,50403.0,2405.0,0.0,0.0,3979897.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,15000.0,11.0,7.27273,56198.0,2455.0,0.0,0.0,4279953.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,16000.0,11.0,7.27273,60984.0,2665.0,0.0,0.0,4577537.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,17000.0,11.0,7.27273,67239.0,2770.0,0.0,0.0,4885609.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,18000.0,11.0,7.27273,73068.0,3025.0,0.0,0.0,5196360.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,19000.0,11.0,7.27273,79342.0,3280.0,0.0,0.0,5507453.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,20000.0,11.0,7.27273,85775.0,3385.0,0.0,0.0,5818631.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,21000.0,11.0,7.27273,92663.0,3385.0,0.0,0.0,6128496.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,22000.0,11.0,7.27273,100908.0,3385.0,0.0,0.0,6445819.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,23000.0,11.0,7.27273,110011.0,3385.0,0.0,0.0,6772095.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,24000.0,11.0,7.27273,116612.0,3421.0,0.0,0.0,7074988.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,25000.0,11.0,7.27273,119402.0,3562.0,0.0,0.0,7379210.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,26000.0,11.0,7.27273,122742.0,3797.0,0.0,0.0,7687658.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,27000.0,11.0,7.27273,126660.0,3968.0,0.0,0.0,7992814.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,28000.0,11.0,7.27273,132425.0,4051.0,0.0,0.0,8302481.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,29000.0,11.0,7.27273,136296.0,4321.0,0.0,0.0,8608648.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,30000.0,11.0,7.27273,140035.0,4595.0,0.0,0.0,8909453.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,31000.0,11.0,7.27273,145336.0,4919.0,0.0,0.0,9217128.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,32000.0,11.0,7.27273,151177.0,4969.0,0.0,0.0,9524555.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,33000.0,11.0,7.27273,155885.0,5179.0,0.0,0.0,9834409.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,34000.0,11.0,7.27273,161828.0,5284.0,0.0,0.0,10144417.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,35000.0,11.0,7.27273,167396.0,5539.0,0.0,0.0,10458030.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,36000.0,11.0,7.27273,173658.0,5763.0,0.0,0.0,10767849.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,37000.0,11.0,7.27273,179481.0,5899.0,0.0,0.0,11078712.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,38000.0,11.0,7.27273,186444.0,5899.0,0.0,0.0,11383726.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,39000.0,11.0,7.27273,193657.0,5899.0,0.0,0.0,11697634.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,40000.0,11.0,7.27273,201601.0,5899.0,0.0,0.0,12012367.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,41000.0,11.0,7.27273,210974.0,5926.0,0.0,0.0,12324379.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,42000.0,11.0,7.27273,214516.0,6217.0,0.0,0.0,12630888.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,43000.0,11.0,7.27273,218523.0,6512.0,0.0,0.0,12942021.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,44000.0,11.0,7.27273,224165.0,6767.0,0.0,0.0,13256770.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,45000.0,11.0,7.27273,229565.0,6951.0,0.0,0.0,13564391.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,46000.0,11.0,7.27273,232638.0,7145.0,0.0,0.0,13852579.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,47000.0,11.0,7.27273,236798.0,7305.0,0.0,0.0,14149897.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,48000.0,11.0,7.27273,241930.0,7433.0,0.0,0.0,14452641.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,49000.0,11.0,7.27273,247795.0,7643.0,0.0,0.0,14762327.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,50000.0,11.0,7.27273,254816.0,7793.0,0.0,0.0,15076342.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,51000.0,11.0,7.27273,259741.0,8020.0,0.0,0.0,15386748.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,52000.0,11.0,7.27273,266472.0,8153.0,0.0,0.0,15705613.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,53000.0,11.0,7.27273,272095.0,8413.0,0.0,0.0,16022259.0
output/tunnel-t=internet_n=13_e=1.0_s=1_k3l1greedy.out,54000.0,11.0,7.27273,280183.0,8413.0,0.0,0.0,16344501.0
